stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129805,0.156503,1.15935,0.533345,-0.670925,0.27045
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129752,0.156476,1.15935,0.533345,-0.671713,0.270861
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129752,0.156476,1.15935,0.533345,-0.671713,0.270861
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129752,0.156476,1.15935,0.533345,-0.671713,0.270861
23,45,-0.0872665,0.698132,-0.174533,0.174533,-0.0988599,0.679084,-0.129752,0.156476,1.15935,0.533345,-0.671713,0.270861
